title,type,country,release_year,rating
Camarón Revolution,1,669,0.5384916518328648,7
Camarón: The Film,0,403,0.5384916518328648,7
Camelia la Texana,1,314,-0.6708069887497644,7
Camera Store,0,549,-0.0661576684584498,9
Camp Cool Kids,0,549,0.23616699168720753,8
5 Flights Up,0,549,-0.6708069887497644,5
Camp X,1,51,-0.6708069887497644,9
Camp X-Ray,0,549,-0.6708069887497644,6
Can We Get Married?,1,394,-1.275456309041079,7
Can You Hear Me?,1,51,1.1431409721241794,9
"Can't Cope, Won't Cope",1,256,0.5384916518328648,9
Can't Help Falling in Love,0,350,0.23616699168720753,7
Can’t Complain,0,137,-2.7870796097693655,9
Candy Jar,0,549,0.5384916518328648,7
Candy Online,1,439,0.8408163119785221,9
1983,1,357,0.5384916518328648,9
5 Star Christmas,0,276,0.5384916518328648,7
Candyflip,0,229,0.23616699168720753,9
Cannabis,1,147,-0.0661576684584498,9
Cannon Busters,1,622,0.8408163119785221,9
Canvas,0,549,1.1431409721241794,0
Capital in the Twenty-First Century,0,179,0.8408163119785221,7
Cappuccino,0,229,0.23616699168720753,10
Captain Underpants Epic Choice-o-Rama,0,549,1.1431409721241794,12
Captain Underpants Mega Blissmas,0,549,1.1431409721241794,12
Captive,1,462,-0.0661576684584498,9
5 to 7,0,549,-0.6708069887497644,6
Car Masters: Rust to Riches,1,669,1.1431409721241794,10
Carbon,0,150,0.23616699168720753,9
Cardboard Gangsters,0,256,-0.0661576684584498,9
Care Bears & Cousins,1,549,-0.0661576684584498,11
Care Bears: Welcome to Care-a-Lot,1,549,-1.275456309041079,11
Care of Kancharapalem,0,229,0.5384916518328648,7
Caregiver,0,350,-2.4847549496237082,7
Cargo,0,229,1.1431409721241794,7
Carlos Almaraz: Playing with Fire,0,549,0.8408163119785221,7
Carlos Ballarta: El amor es de putos,0,308,-0.0661576684584498,9
Carlos Ballarta: Furia Ñera,0,308,0.5384916518328648,9
Carmel: Who Killed Maria Marta?,1,0,1.1431409721241794,7
Carmen Sandiego,1,549,1.4454656322698367,12
Carmen Sandiego: To Steal or Not to Steal,0,78,1.1431409721241794,12
Carol,0,538,-0.3684823286041071,6
CAROLE & TUESDAY,1,291,0.8408163119785221,9
Carrie Pilby,0,549,-0.0661576684584498,9
Carriers,0,549,-2.182430289478051,5
50/50,0,549,-1.5777809691867364,6
Casa de mi Padre,0,626,-1.275456309041079,6
Casablancas: The Man Who Loved Women,0,147,-0.0661576684584498,7
Case,1,227,-0.3684823286041071,9
Case 39,0,565,-2.182430289478051,6
Case Closed,1,291,-0.3684823286041071,7
Casino Royale,0,480,-3.089404269915023,5
Casting JonBenet,0,553,0.23616699168720753,7
Castle and Castle,1,330,0.5384916518328648,9
5CM,0,249,-1.275456309041079,7
Castle of Stars,1,669,-0.3684823286041071,9
Castlevania,1,549,1.1431409721241794,9
Catching Feelings,0,386,0.5384916518328648,9
Catching the Sun,0,96,-0.3684823286041071,7
Catfight,0,549,-0.0661576684584498,9
Cathedral of the Sea,1,403,0.23616699168720753,9
Cats & Dogs: The Revenge of Kitty Galore,0,552,-1.8801056293323937,4
Catwalk: Tales from the Cat Show Circuit,0,51,0.5384916518328648,10
5Gang,0,362,0.8408163119785221,7
Caught on Camera,1,462,-0.3684823286041071,9
Cave,0,332,-0.0661576684584498,9
Cedric the Entertainer: Live from the Ville,0,549,-0.0661576684584498,9
Celebrity Marriage,0,669,0.23616699168720753,10
Cells at Work!,1,291,0.5384916518328648,10
Celluloid Man,0,229,-1.275456309041079,10
